Refinery Configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Total Avoided CO2,kt/y","Marginal Abatement Cost, $/t"
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2050,1,MEDIUM,HEAVY,SOUR,92.91528246,328.1439699
Medium Conversion: FCC & GO-HC (3),3,CNR,2050,1,MEDIUM,HEAVY,SOUR,31.88862939,401.7614191
Medium Conversion: FCC & GO-HC (3),3,FCC/RFCC,2050,1,MEDIUM,HEAVY,SOUR,81.39560623,242.3917834
Medium Conversion: FCC & GO-HC (3),3,Coker,2050,1,MEDIUM,HEAVY,SOUR,45.01934875,372.2672454
Medium Conversion: FCC & GO-HC (3),3,Hydrotreater,2050,1,MEDIUM,HEAVY,SOUR,85.52663392,334.3430558
Medium Conversion: FCC & GO-HC (3),3,Steam Boiler,2050,1,MEDIUM,HEAVY,SOUR,11.73655569,543.3854892
Medium Conversion: FCC & GO-HC (3),3,SMR,2050,1,MEDIUM,HEAVY,SOUR,49.1975565,313.0682583
Medium Conversion: FCC & GO-HC (3),3,Others,2050,1,MEDIUM,HEAVY,SOUR,23.65045958,440.0589801
Deep Conversion: FCC (4),4,ADU/VDU,2050,1,MEDIUM,HEAVY,SOUR,89.52898514,328.2086848
Deep Conversion: FCC (4),4,CNR,2050,1,MEDIUM,HEAVY,SOUR,27.01055306,416.3885477
Deep Conversion: FCC (4),4,FCC/RFCC,2050,1,MEDIUM,HEAVY,SOUR,91.17745024,235.8900683
Deep Conversion: FCC (4),4,Coker,2050,1,MEDIUM,HEAVY,SOUR,46.02090429,368.0985206
Deep Conversion: FCC (4),4,Hydrotreater,2050,1,MEDIUM,HEAVY,SOUR,82.08328616,334.7913992
Deep Conversion: FCC (4),4,Steam Boiler,2050,1,MEDIUM,HEAVY,SOUR,10.89962261,556.2558128
Deep Conversion: FCC (4),4,SMR,2050,1,MEDIUM,HEAVY,SOUR,32.43153953,352.9864967
Deep Conversion: FCC (4),4,Others,2050,1,MEDIUM,HEAVY,SOUR,20.96155309,450.8116872
Deep Conversion: GO-HC (5),5,ADU/VDU,2050,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,CNR,2050,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,FCC/RFCC,2050,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Coker,2050,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Hydrotreater,2050,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Steam Boiler,2050,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,SMR,2050,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Others,2050,1,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2050,1,MEDIUM,HEAVY,SOUR,121.913714,315.148573
Deep Conversion: FCC & GO-HC (6),6,CNR,2050,1,MEDIUM,HEAVY,SOUR,51.94122275,363.3301008
Deep Conversion: FCC & GO-HC (6),6,FCC/RFCC,2050,1,MEDIUM,HEAVY,SOUR,109.8905617,227.3273661
Deep Conversion: FCC & GO-HC (6),6,Coker,2050,1,MEDIUM,HEAVY,SOUR,60.83355876,352.7842362
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2050,1,MEDIUM,HEAVY,SOUR,106.755405,323.1797889
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2050,1,MEDIUM,HEAVY,SOUR,16.77097075,489.9946805
Deep Conversion: FCC & GO-HC (6),6,SMR,2050,1,MEDIUM,HEAVY,SOUR,63.21856748,295.5079849
Deep Conversion: FCC & GO-HC (6),6,Others,2050,1,MEDIUM,HEAVY,SOUR,29.07110778,421.4920302
Hydroskimming Configuration (0),0,ADU/VDU,2035,1,HIGH,HEAVY,SOUR,12.64163036,515.1547688
Hydroskimming Configuration (0),0,CNR,2035,1,HIGH,HEAVY,SOUR,8.775585753,584.1426514
Hydroskimming Configuration (0),0,FCC/RFCC,2035,1,HIGH,HEAVY,SOUR,3.55E-17,0
Hydroskimming Configuration (0),0,Coker,2035,1,HIGH,HEAVY,SOUR,1.94E-17,0
Hydroskimming Configuration (0),0,Hydrotreater,2035,1,HIGH,HEAVY,SOUR,11.04843391,546.6165058
Hydroskimming Configuration (0),0,Steam Boiler,2035,1,HIGH,HEAVY,SOUR,2.014293213,1204.615293
Hydroskimming Configuration (0),0,SMR,2035,1,HIGH,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Others,2035,1,HIGH,HEAVY,SOUR,3.624561895,880.6924129
Medium Conversion:  FCC (1),1,ADU/VDU,2035,1,HIGH,HEAVY,SOUR,395.6361307,275.7118741
Medium Conversion:  FCC (1),1,CNR,2035,1,HIGH,HEAVY,SOUR,278.0208533,288.1010966
Medium Conversion:  FCC (1),1,FCC/RFCC,2035,1,HIGH,HEAVY,SOUR,361.3109667,186.7349911
Medium Conversion:  FCC (1),1,Coker,2035,1,HIGH,HEAVY,SOUR,187.1362835,303.6193387
Medium Conversion:  FCC (1),1,Hydrotreater,2035,1,HIGH,HEAVY,SOUR,399.7518319,275.446477
Medium Conversion:  FCC (1),1,Steam Boiler,2035,1,HIGH,HEAVY,SOUR,61.32901344,373.054641
Medium Conversion:  FCC (1),1,SMR,2035,1,HIGH,HEAVY,SOUR,0,0
